shortcode,username,date_utc,url_thumbnail,url_media,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHWluLggKYd,albertsons,11/9/2020 2:18,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123831754_825057114995687_858726730532056451_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=IrhdQ-g3oysAX9qU38W&tp=1&oh=1f330354f8978866c8b210712c5a5bcf&oe=5FE7EEA6,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123831754_825057114995687_858726730532056451_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=IrhdQ-g3oysAX9qU38W&tp=1&oh=1f330354f8978866c8b210712c5a5bcf&oe=5FE7EEA6,no,FALSE,,,Let us do the hard work and enjoy prepared holiday meals with all the fixings. Simply re-heat and enjoy. Order now at the link in our bio! :hugging_face:,0,0,128,10,138,,
,,,,,,,,,,,,,,,,
CHQ5OQmgE1m,albertsons,11/6/2020 21:13,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/123653936_155580562912889_4513256447298890759_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6XXxbublLEUAX8tTI1R&tp=1&oh=7c34c5520995e392b28432d1e40e7cd2&oe=5FE7303D,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/123653936_155580562912889_4513256447298890759_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6XXxbublLEUAX8tTI1R&tp=1&oh=7c34c5520995e392b28432d1e40e7cd2&oe=5FE7303D,no,FALSE,,,"Keep it fresh with an apple kale walnut salad! After all, apples are in season :red_apple:",0,0,69,4,73,,
,,,,,,,,,,,,,,,,
CHOok2MjVRB,albertsons,11/6/2020 0:09,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/123587323_205537237601361_5722704004987169169_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=eGDDutE--TIAX8axB99&tp=1&oh=0eaa734647bf38384d672949450668a5&oe=5FE59D0E,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/123587323_205537237601361_5722704004987169169_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=eGDDutE--TIAX8axB99&tp=1&oh=0eaa734647bf38384d672949450668a5&oe=5FE59D0E,no,FALSE,,,"Which one of these is calling to you? We’re thinking pot stickers –frozen, fresh, or homemade!",0,0,68,7,75,,
,,,,,,,,,,,,,,,,
CHMABVyAO0q,albertsons,11/4/2020 23:36,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/123504440_361560918470557_4014018252434197428_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=eq1dAn9DKUYAX_PBkca&tp=1&oh=266828e89c7826c6a2c81e6003b21f94&oe=5FE91BD8,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/123504440_361560918470557_4014018252434197428_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=eq1dAn9DKUYAX_PBkca&tp=1&oh=266828e89c7826c6a2c81e6003b21f94&oe=5FE91BD8,no,FALSE,,unicornsinthekitchen,This meatball skillet has your name written all over it for dinner tonight :drooling_face:Check our story for the easy recipe from @unicornsinthekitchen,0,0,79,5,84,,
,,,,,,,,,,,,,,,,
CHIudZ2ABR8,albertsons,11/3/2020 17:05,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123395245_3320007944747234_735344400979608090_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Ea3U4WgSuRgAX8xWqkV&tp=1&oh=02d42bf98217417e597cd3bf2c71661e&oe=5FE7CB1E,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123395245_3320007944747234_735344400979608090_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Ea3U4WgSuRgAX8xWqkV&tp=1&oh=02d42bf98217417e597cd3bf2c71661e&oe=5FE7CB1E,no,FALSE,,,We’re thinking soup for the family this week. What’s your go-to slow-cooker soup?,0,0,91,4,95,,
,,,,,,,,,,,,,,,,
CHGSPksAlup,albertsons,11/2/2020 18:20,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/123597031_369112721201699_4588213144484659397_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=MiiLj9hmcoMAX_8Epmn&tp=1&oh=a0177073a0c06776a1776079017040b5&oe=5FE626EC,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/123597031_369112721201699_4588213144484659397_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=MiiLj9hmcoMAX_8Epmn&tp=1&oh=a0177073a0c06776a1776079017040b5&oe=5FE626EC,no,FALSE,debilillydesign,debililly,Today is the last day of Dia de los Muertos! We’re celebrating all of our loved ones who are not longer with us :smiling_face_with_halo: Beautiful arrangement from @debililly #debilillydesign,0,0,111,4,115,,
,,,,,,,,,,,,,,,,
CHDgPach53p,albertsons,11/1/2020 16:24,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/123324998_995253234628641_8175789625400065936_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=QTaxnsJ45f4AX-vQtsf&tp=1&oh=b917242a3c6597d81a8118ef03a3b992&oe=5FE60EA0,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/123324998_995253234628641_8175789625400065936_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=QTaxnsJ45f4AX-vQtsf&tp=1&oh=b917242a3c6597d81a8118ef03a3b992&oe=5FE60EA0,no,FALSE,,ellaclaireblog,Use that extra hour we got this morning to make an extra good breakfast! Check our story for this great idea from @ellaclaireblog –or just sleep in. We get it :sleeping_face:,0,0,81,3,84,,
,,,,,,,,,,,,,,,,
