,company,username,esg_company,verified
150,Assurant,assurantmatters,Assurant Inc.,Assurant
151,Astellas Pharma,#astellaspharma,Astellas Pharma Inc,255 posts
152,AstraZeneca,astrazeneca,AstraZeneca,AstraZeneca
153,Asustek Computer,#asustekcomputer,ASUSTeK Computer Inc.,18 posts
154,AT&T,att,AT&T Inc.,Verified
155,Athene Holding,atheneholdings,Athene Holding Ltd,Athene Holdings.
156,Atlantia,atlantafalcons,Atlantia,Verified
157,Atlas Copco,atlascopcogroup,Atlas Copco A,Atlas Copco
158,Atlassian,atlassian,Atlassian Corporation PLC,Verified
159,Atmos Energy,atmosenergy,Atmos Energy Corporation,Atmos Energy
160,ATOS,atosjiujitsuhq,Atos Origin SA,Atos Jiu Jitsu HQ
161,Attijariwafa Bank,attijariwafabank_maroc,Attijariwafa Bank,Attijariwafa Bank Maroc
162,Audi,audi,Audi AG,Verified
163,ANZ,anzhonnyc,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Anzhonny
164,AutoNation,autonation,"AutoNation, Inc.",AutoNation
165,AutoZone,autozone,"AutoZone, Inc.",Verified
166,AvalonBay Communities,avalonbaycommunities,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc."
167,Avenue Supermarts,#avenuesupermarts,Avenue Supermarts Ltd,403 posts
168,Avery Dennison,adgraphics_na,Avery Dennison Corporation,Avery Dennison Graphics
169,Aviva,avivadrescher,Aviva,Verified
170,Avnet,avnet,"Avnet, Inc.",Verified
171,AXA Group,delphin_academia,AXA,Delphin Group Academia
172,Axiata Group,#axiatagroup,Axiata Group Bhd,235 posts
173,Axis Bank,axis_bank,Axis Bank Limited,Verified
174,Azrieli Group,#azrieligroup,Azrieli Group,27 posts
175,BAE Systems,baesystems,BAE Systems PLC,BAE Systems
176,BAIC Motor,#baicmotor,BAIC Motor Corp. Ltd.,919 posts
177,Baidu,baiduexobar,Baidu Inc,Baidu EXOBar
178,Bajaj Auto,bajaj_auto_ltd,Bajaj Auto Ltd,Bajaj Auto
179,Bajaj Finserv,bajajfinserv,Bajaj Finserv Ltd,Verified
180,Baker Hughes Co,bakerhughesco,Baker Hughes Incorporated,Verified
181,Ball,lavar,Ball Corporation,Verified
182,Bâloise Group,baloiseart,Baloise,Baloise Group
183,Banca Popolare di Sondrio,#bancapopolaredisondrio,Banca Popolare di Sondrio S.C.A.R.L.,166 posts
184,BBVA,bbva,BANCO BILBAO VIZCAYA ARGENTARIA SA,Verified
185,Banco BPM,bancobpm,Banco BPM,Banco BPM
186,Popular,videosexyclub,Banco BPM,popular
187,Bradesco,bradesco,Banco Bradesco S.A.,Verified
188,Banco Bradesco,#bancobradesco,Banco Bradesco S.A.,"6,939 posts"
189,Banco BBVA Peru,Club BBVA Chaclacayo,Banco Continental,"Chaclacayo, Chaclacayo, Lima, Peru"
190,Banco Davivienda,#bancodavivienda,Banco Davivienda S.A.,"1,258 posts"
191,BDO Unibank,#bdounibank,Banco De Oro Unibank Inc.,248 posts
192,Banco do Brasil,bancodobrasil,Banco do Brasil S.A.,Verified
193,Banco de Sabadell,#bancodesabadell,Banco Sabadell,25 posts
194,Santander,santanderbankus,Banco Santander S.A.,Verified
195,Bancolombia,bancolombia,BanColombia S.A.,Verified
196,Bangkok Bank,bangkokbanksme,Bangkok Bank PCL,Bangkok Bank SME
197,Bangkok Dusit Medical Services,#bangkokdusitmedicalservices,Bangkok Dusit Medical Services PCL,22 posts
198,Bank Audi,bankaudi,Bank Audi SAL Saradar Group,Verified
199,Bank Central Asia,#bankcentralasia,Bank Central Asia Terbuka,"12,852 posts"
200,Bank Hapoalim,#bankhapoalim,Bank Hapoalim B.M.,562 posts
201,Bank Leumi,we_are_leumi,Bank Leumi Le-Israel B.M.,Bank Leumi USA
202,Bank Mandiri,bankmandiri,Bank Mandiri (Persero),Verified
203,Bank Negara Indonesia,bni46,BANK NEGARA INDONESIA,Verified
204,Merrill,mks49,Bank of America Corporation,Merrill Stovroff
205,Bank of America,bankofamerica,Bank of America Corporation,Verified
206,Bank of Baroda,officialbankofbaroda,Bank of Baroda,Verified
207,Bank of China,commercial_bank_of_chinaa,Bank of China,Commercial Bank Of China
208,Bank of Chongqing,#bankofchongqing,"Bank of ChongQing Co.,Ltd.",4 posts
209,Bank of Communications,#bankofcommunications,"Bank of Communications Co., Ltd.",192 posts
210,Bank of Greece,#bankofgreece,Bank Of Greece,686 posts
211,Bank Of Guiyang,First Bank of Nigeria Limited,Bank of Guiyang,"Samuel Asabia House, 35 Marina st, Lagos, Nigeria, Lagos, Nigeria"
212,Bank Of Hangzhou,#bankofhangzhou,Bank of Hangzhou Co Ltd,1 post
213,Bank of India,theofficialsbi,Bank of India,Verified
214,Bank of Ireland,bankofireland,Bank of Ireland,Verified
215,Bank Of Jiangsu,#bankofjiangsu,Bank of Jiangsu Co Ltd,2 posts
216,Bank of Jinzhou,"Liaoning university of technology,jinzhou",Bank of Jinzhou Co Ltd,"Jinzhou, Liaoning, China"
217,Bank of Montreal,bmoestatecentre,Bank Of Montreal Quebec,Bank of Montreal Estate Centre
218,Bank of Nanjing,#bankofnanjing,Bank of Nanjing Co. Ltd.,3 posts
219,Bank of Ningbo,#bankofningbo,Bank Of Ningbo Company Limited,6 posts
