,company,overall_rating,community_rating,employee_rating,environment_rating,governance_rating,overall_percentage,community_percentage,employee_percentage,environment_percentage,governance_percentage
Banco do Brasil S.A.,Banco do Brasil S.A.,63,67,61,71,52,95,93,84,92,58
Banco Santander S.A.,Banco Santander S.A.,63,64,57,76,52,95,89,77,97,60
BanColombia S.A.,BanColombia S.A.,63,64,60,71,55,95,88,83,92,75
Bank Audi SAL Saradar Group,Bank Audi SAL Saradar Group,60,61,60,57,61,87,83,83,63,88
Bank Mandiri (Persero),Bank Mandiri (Persero),55,55,53,62,49,70,64,65,76,42
BANK NEGARA INDONESIA,BANK NEGARA INDONESIA,58,62,57,61,52,82,85,75,73,58
Bank of America Corporation,Bank of America Corporation,63,58,61,73,56,94,74,85,95,79
Bank of Baroda,Bank of Baroda,49,47,49,55,44,40,38,52,59,22
Bank of India,Bank of India,45,45,44,53,37,20,33,32,53,10
Bank of Ireland,Bank of Ireland,53,50,50,57,53,59,46,54,63,68
Bank Polska Kasa Opieki SA,Bank Polska Kasa Opieki SA,53,57,53,53,50,61,71,64,53,46
Bankinter SA,Bankinter SA,61,62,58,70,53,91,84,78,91,68
Banque Saudi Fransi,Banque Saudi Fransi,51,50,49,55,49,50,48,50,57,38
Barclays,Barclays,62,61,59,72,54,93,82,82,94,73
Basler Kantonalbank,Basler Kantonalbank,59,55,63,61,55,84,64,88,74,75
Bass Pro Shops (Outdoor World) LLC,Bass Pro Shops (Outdoor World) LLC,NA,17,43,NA,28,NA,25,NA,NA,NA
Bayer AG,Bayer AG,56,54,62,60,47,74,62,87,70,32
BayWa,BayWa,70,72,77,70,61,97,98,91,88,97
Bed Bath & Beyond,Bed Bath & Beyond,53,55,45,60,49,58,63,36,72,38
Beiersdorf,Beiersdorf,66,69,60,76,56,98,95,84,97,78
Bell Aliant,Bell Aliant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Buy Co., Inc.","Best Buy Co., Inc.",63,61,60,72,59,96,81,82,94,86
"Big Lots, Inc.","Big Lots, Inc.",51,55,48,49,53,51,64,47,42,66
"BJ's Wholesale Club, Inc.","BJ's Wholesale Club, Inc.",51,51,50,56,47,51,52,54,61,31
"BlackRock, Inc.","BlackRock, Inc.",60,57,60,64,59,89,71,83,80,86
Bloomberg,Bloomberg,70,62,76,78,62,85,98,98,90,85
BMO Harris Bank,BMO Harris Bank,56,54,64,51,51,63,51,51,49,51
BMW,BMW,63,66,60,77,47,95,92,84,98,32
BNP Paribas,BNP Paribas,65,65,64,75,56,98,91,89,96,78
Booking Holdings,Booking Holdings,51,51,49,52,53,52,49,49,50,66
Bosch Limited,Bosch Limited,58,62,49,65,53,80,84,50,82,66
Bouygues SA,Bouygues SA,61,67,57,70,49,91,93,76,90,40
BRASKEM S/A,BRASKEM S/A,52,56,49,53,51,57,69,52,52,51
Bridgestone Corporation,Bridgestone Corporation,62,66,60,66,54,92,91,83,85,70
Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,62,59,62,69,55,92,76,86,90,76
British Sky Broadcasting Group PLC,British Sky Broadcasting Group PLC,65,58,59,74,65,97,73,82,96,93
Brown-Forman Corporation,Brown-Forman Corporation,58,60,57,61,52,80,79,76,73,62
Budweiser Brewing Company APAC Ltd,Budweiser Brewing Company APAC Ltd,53,54,46,59,53,62,60,39,70,66
Burberry Group PLC,Burberry Group PLC,61,63,56,69,55,91,86,74,89,77
Burger King Corporation,Burger King Corporation,NA,44,60,39,57,NA,32,82,20,81
Caesars Entertainment Corp.,Caesars Entertainment Corp.,55,54,55,62,48,70,60,71,75,37
Caixa Economica Federal,Caixa Economica Federal,63,68,70,54,62,95,94,95,55,90
Caltex Australia Pty. Ltd.,Caltex Australia Pty. Ltd.,52,50,50,54,52,54,48,55,57,62
Campbell Soup Company,Campbell Soup Company,63,69,60,66,58,95,95,83,85,84
Canadian Imperial Bank of Commerce,Canadian Imperial Bank of Commerce,62,62,57,72,55,93,84,77,94,77
"Canadian Tire Corporation, Limited","Canadian Tire Corporation, Limited",59,60,50,68,55,84,81,54,87,77
Canon Inc,Canon Inc,60,59,56,71,52,88,76,73,92,60
Capitaland ILEC Pte Ltd,Capitaland ILEC Pte Ltd,65,67,61,75,57,98,93,84,97,81
Carhartt Inc,Carhartt Inc,NA,32,61,NA,53,NA,10,84,NA,64
Carlsberg A/S,Carlsberg A/S,56,54,64,51,51,63,51,51,49,51
"CarMax, Inc.","CarMax, Inc.",53,53,55,52,53,61,57,70,51,64
Carnival Corporation & PLC,Carnival Corporation & PLC,56,54,64,51,51,63,51,51,49,51
Carrefour,Carrefour,56,54,64,51,51,63,51,51,49,51
Caterpillar Inc.,Caterpillar Inc.,61,59,60,66,58,91,78,82,84,84
Cemex Sab De CV,Cemex Sab De CV,58,64,55,60,55,83,88,71,71,75
CenturyLink,CenturyLink,56,54,64,51,51,63,51,51,49,51
CHANEL SA,CHANEL SA,NA,46,62,79,56,NA,37,86,99,78
Charles Schwab Corp.,Charles Schwab Corp.,56,54,64,51,51,63,51,51,49,51
Chase Corp.,Chase Corp.,46,47,40,45,51,23,38,16,31,53
Chevron Corp.,Chevron Corp.,52,48,56,49,54,54,40,73,43,73
China Southern Airlines Co. Ltd.,China Southern Airlines Co. Ltd.,56,54,64,51,51,63,51,51,49,51
China State Construction Engineering Corporation Limited,China State Construction Engineering Corporation Limited,56,54,64,51,51,63,51,51,49,51
Chow Tai Fook Jewellery Group,Chow Tai Fook Jewellery Group,55,57,62,53,47,67,70,86,53,30
Christian Dior,Christian Dior,61,59,64,66,55,91,76,90,85,77
Chubb Corporation,Chubb Corporation,57,53,52,61,60,78,57,63,73,87
CIGNA Corporation,CIGNA Corporation,61,55,59,70,57,90,64,81,90,82
CJ CheilJedang Corp.,CJ CheilJedang Corp.,61,66,57,67,53,91,92,75,87,64
Clif Bar,Clif Bar,NA,48,74,81,71,NA,41,97,99,97
Cognizant Technology Solutions Corporation,Cognizant Technology Solutions Corporation,56,57,48,63,53,73,71,45,79,66
Colgate-Palmolive Company,Colgate-Palmolive Company,64,65,60,72,56,96,90,82,93,79
COLRUYT,COLRUYT,58,61,52,67,52,83,83,60,87,60
