company,username,esg_company,verified
Netflix,netflix,"Netflix, Inc.",Verified
Newell Brands,newellbrands,Newell Rubbermaid Inc.,Verified
NEXON,nexonamerica,NEXON Co Ltd,Verified
Nike,nike,"NIKE, Inc.",Verified
Nintendo,nintendo,NINTENDO CO LTD,Verified
Nippon Paint,nipponpaintsg,Nippon Paint,Verified
Nokia,nokia,Nokia Corporation,Verified
Nordstrom,nordstrom,"Nordstrom, Inc.",Verified
Northrop Grumman,northropgrumman,Northrop Grumman Corporation,Verified
NORTHWESTERN MUTUAL,northwesternmutual,Northwestern Mutual,Verified
Novartis,novartis,Novartis AG,Verified
Novo Nordisk,novonordisk,Novo Nordisk,Verified
NVIDIA,nvidia,NVIDIA Corporation,Verified
Old Mutual,oldmutualsa,Old Mutual PLC,Verified
Olympus,getolympus,OLYMPUS CORPORATION,Verified
OMV Group,omv,OMV AG,Verified
Oneok,oneok_inc,"ONEOK, Inc.",Verified
Oracle,oracle,Oracle Corporation,Verified
Orsted,orsted,Orsted,Verified
Oshkosh,oshkoshkids,Oshkosh Corporation,Verified
Panasonic,panasonic,Panasonic Corporation,Verified
Paychex,paychex_inc,"Paychex, Inc.",Verified
Paycom,paycomsoftware,Paycom Software Inc,Verified
PayPal,paypal,"PayPal, Inc.",Verified
Penske Automotive,penskecars,"Penske Automotive Group, Inc.",Verified
PEPSICO,pepsico,"PepsiCo, Inc.",Verified
Lay's,lays,"PepsiCo, Inc.",Verified
Gatorade,gatorade,"PepsiCo, Inc.",Verified
PepsiCo,pepsico,"PepsiCo, Inc.",Verified
Pepsi,pepsi,"Pepsi-Cola Products Philippines, Inc",Verified
Pernod Ricard,pernodricardau,Pernod Ricard,Verified
Petronas,petronas,Petroliam Nasional,Verified
PetSmart,petsmart,"PetSmart, Inc.",Verified
Chewy,chewy,"PetSmart, Inc.",Verified
Pfizer,pfizerinc,Pfizer Inc.,Verified
Phillips 66,phillips66co,Phillips 66,Verified
Pirelli,pirelli,Pirelli & Co,Verified
Pizza Hut,pizzahut,Pizza Hut,Verified
prada,prada,Prada,Verified
Gillette,gillette,Procter & Gamble Company,Verified
Pantene,pantene,Procter & Gamble Company,Verified
Procter & Gamble,proctergamble,Procter & Gamble Company,Verified
Progressive,progressive,Progressive Corporation,Verified
Prudential,prudential,"Prudential Financial, Inc.",Verified
Peugeot,peugeot,PSA Peugeot Citroen,Verified
Public Storage,publicstorage,"Public Storage, Inc.",Verified
Publicis Groupe,publicisgroupe,Publicis Groupe SA,Verified
Publix,publix,"Publix Super Markets, Inc.",Verified
Qualcomm,qualcomm,QUALCOMM Incorporated,Verified
Rabobank,rabobank,Rabobank Nederland N.V.,Verified
Rakuten,rakuten,Rakuten Inc,Verified
Ralph Lauren,ralphlauren,Ralph Lauren Corporation,Verified
rei,rei,Recreational Equipment Inc.,Verified
